iter	RMSE
0	14.44612623
1	13.52773846
2	12.6592929
3	11.86957564
4	11.18709177
5	10.65852143
6	10.1347306
7	9.684840926
8	9.256268652
9	8.823587725
10	8.449214535
11	8.108971059
12	7.820950603
13	7.547196252
14	7.29963785
15	7.094560576
16	6.900677549
17	6.729496961
18	6.559235976
19	6.418195471
20	6.305597608
21	6.194539284
22	6.091034987
23	5.991021568
24	5.90070611
25	5.818346919
26	5.741449688
27	5.684640837
28	5.632894464
29	5.580661373
30	5.533078879
31	5.488701311
32	5.441261338
33	5.407226484
34	5.373109039
35	5.344072775
36	5.31755309
37	5.295989789
38	5.273582383
39	5.247503508
40	5.235724837
41	5.218034346
42	5.200563321
43	5.182845364
44	5.169962358
45	5.146478322
46	5.129638078
47	5.116315405
48	5.098956295
49	5.073724198
50	5.057069397
51	5.048046095
52	5.03193228
53	5.018868025
54	5.003847966
55	4.991746861
56	4.972973847
57	4.955673566
58	4.945391209
59	4.938058411
60	4.921954044
61	4.913978884
62	4.902697105
63	4.894698803
64	4.881882024
65	4.867758354
66	4.854306954
67	4.83903705
68	4.831364355
69	4.82115474
70	4.811685753
71	4.802751173
72	4.790131722
73	4.77924121
74	4.765301573
75	4.756128628
76	4.745856413
77	4.731616741
78	4.722371948
79	4.715435566
80	4.715099008
81	4.71040553
82	4.702223715
83	4.691729367
84	4.685265132
85	4.677833664
86	4.671575208
87	4.664033136
88	4.657324812
89	4.652777571
90	4.641313997
91	4.636074941
92	4.622884138
93	4.616995064
94	4.607805663
95	4.601789674
96	4.596920239
97	4.593797159
98	4.581849775
99	4.568663985
