iter	Passed	Remaining
0	2	241
1	4	236
2	6	217
3	8	198
4	10	194
5	12	189
6	13	183
7	15	175
8	16	169
9	18	165
10	19	161
11	21	157
12	22	153
13	24	152
14	26	150
15	28	147
16	29	144
17	31	143
18	34	145
19	35	143
20	37	139
21	38	136
22	40	134
23	41	132
24	43	130
25	44	127
26	46	124
27	47	122
28	48	119
29	50	116
30	51	114
31	53	112
32	54	111
33	56	109
34	57	107
35	59	104
36	60	102
37	61	100
38	62	98
39	64	96
40	65	94
41	67	92
42	68	91
43	70	89
44	71	87
45	72	85
46	74	83
47	75	81
48	76	79
49	78	78
50	79	76
51	80	74
52	82	72
53	83	71
54	84	69
55	86	68
56	87	66
57	89	64
58	90	62
59	91	61
60	93	59
61	94	58
62	96	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	47
69	106	45
70	107	44
71	109	42
72	110	40
73	111	39
74	113	37
75	114	36
76	116	34
77	117	33
78	118	31
79	120	30
80	120	28
81	122	26
82	124	25
83	125	23
84	127	22
85	129	21
86	130	19
87	131	17
88	133	16
89	134	14
90	135	13
91	137	11
92	138	10
93	140	8
94	141	7
95	142	5
96	144	4
97	145	2
98	147	1
99	148	0
