iter	RMSE
0	14.7004604
1	14.30337254
2	13.91256198
3	13.53225024
4	13.18019196
5	12.84919009
6	12.53840056
7	12.25186019
8	11.95242125
9	11.65520241
10	11.36295705
11	11.10126919
12	10.85486166
13	10.59503648
14	10.35830912
15	10.12153971
16	9.902674422
17	9.69849761
18	9.484412038
19	9.300037657
20	9.137972367
21	8.965805821
22	8.796866425
23	8.635926859
24	8.48193121
25	8.33970399
26	8.204510336
27	8.088859659
28	7.966616475
29	7.846527855
30	7.744943594
31	7.638864612
32	7.54323463
33	7.446057747
34	7.347180941
35	7.256734846
36	7.167633912
37	7.093086631
38	7.008876122
39	6.933393507
40	6.854925437
41	6.78181979
42	6.721738998
43	6.659380962
44	6.599103926
45	6.545843355
46	6.494042854
47	6.441435168
48	6.388062117
49	6.341582198
50	6.290876108
51	6.248796394
52	6.205796105
53	6.16501899
54	6.125207108
55	6.093769991
56	6.055000275
57	6.023556238
58	5.989798524
59	5.958941204
60	5.930208223
61	5.900430546
62	5.869992171
63	5.838015349
64	5.816326588
65	5.789042846
66	5.767476512
67	5.748623728
68	5.727829952
69	5.70886415
70	5.683701522
71	5.665544002
72	5.649333997
73	5.628430545
74	5.605105608
75	5.590245347
76	5.574668424
77	5.559012745
78	5.539913529
79	5.521493759
80	5.512464255
81	5.496174717
82	5.483247431
83	5.469343358
84	5.463262359
85	5.450205185
86	5.435589592
87	5.424958517
88	5.414582295
89	5.40424122
90	5.392011381
91	5.383986388
92	5.374568989
93	5.366196646
94	5.359076503
95	5.349298536
96	5.339614428
97	5.330601687
98	5.324851605
99	5.318770325
100	5.313954264
101	5.302721337
102	5.295812872
103	5.292369933
104	5.284075342
105	5.277294669
106	5.264374837
107	5.256336585
108	5.246291571
109	5.238125786
110	5.230678081
111	5.225222244
112	5.221198231
113	5.21209632
114	5.207385678
115	5.2003818
116	5.199473493
117	5.192124468
118	5.181812443
119	5.172537793
120	5.167767406
121	5.161212208
122	5.155280451
123	5.147531489
124	5.142269739
125	5.137779463
126	5.127717809
127	5.123623661
128	5.117381797
129	5.113655046
130	5.10811319
131	5.103561407
132	5.097698635
133	5.094223928
134	5.089307403
135	5.086601979
136	5.082272236
137	5.078816417
138	5.075926759
139	5.072722142
140	5.067832109
141	5.063716157
142	5.062993932
143	5.05979869
144	5.052547291
145	5.046058168
146	5.042969675
147	5.037432378
148	5.033129108
149	5.028873708
150	5.024180881
151	5.021375559
152	5.017251199
153	5.013057131
154	5.0086399
155	5.003216513
156	5.00149459
157	4.997068109
158	4.992532819
159	4.988595698
160	4.986086818
161	4.982720772
162	4.977646635
163	4.97041344
164	4.968466217
165	4.965719801
166	4.963302939
167	4.958570979
168	4.954410725
169	4.952141175
170	4.948816938
171	4.945640997
172	4.942113285
173	4.940311974
174	4.937014668
175	4.935470682
176	4.930172735
177	4.928180744
178	4.925801552
179	4.922952158
180	4.919587758
181	4.915844955
182	4.914692249
183	4.911544917
184	4.909395919
185	4.9059946
186	4.900067171
187	4.897562683
188	4.894352983
189	4.893277397
190	4.889185995
191	4.887552109
192	4.8849579
193	4.88274164
194	4.878211056
195	4.872773308
196	4.870336121
197	4.867866909
198	4.860393212
199	4.857082623
200	4.854387695
201	4.851718294
202	4.847947885
203	4.846549029
204	4.842542705
205	4.838978332
206	4.83501602
207	4.831422001
208	4.824705202
209	4.822823705
210	4.818709248
211	4.815093304
212	4.809949668
213	4.808091781
214	4.806495937
215	4.804869752
216	4.803518165
217	4.799937833
218	4.799102123
219	4.795425091
220	4.789753304
221	4.787862678
222	4.784689022
223	4.783093344
224	4.77846149
225	4.774037536
226	4.772081765
227	4.770676317
228	4.768589143
229	4.766209756
230	4.76195848
231	4.758883104
232	4.756320872
233	4.752121766
234	4.750033771
235	4.747905874
236	4.744080417
237	4.739864736
238	4.734132918
239	4.730621372
240	4.729105345
241	4.726921561
242	4.724127516
243	4.720811438
244	4.716772076
245	4.714687117
246	4.708128328
247	4.704790784
248	4.701363586
249	4.697613845
250	4.69490732
251	4.693134972
252	4.689513924
253	4.686757257
254	4.683682395
255	4.678929496
256	4.676044725
257	4.674398902
258	4.672422762
259	4.670327011
260	4.664564434
261	4.659834047
262	4.654764056
263	4.652668912
264	4.650013263
265	4.644810221
266	4.643199775
267	4.639170578
268	4.636017584
269	4.634102094
270	4.633119768
271	4.631970042
272	4.630032508
273	4.627445798
274	4.623267932
275	4.618292141
276	4.612318321
277	4.607455675
278	4.603700576
279	4.599875168
280	4.594607914
281	4.593896794
282	4.58917747
283	4.588262858
284	4.58612131
285	4.580340975
286	4.575697345
287	4.571218326
288	4.568369947
289	4.567626602
290	4.564832279
291	4.561808891
292	4.559812068
293	4.557769671
294	4.55646583
295	4.554115203
296	4.549940285
297	4.548128302
298	4.544339588
