iter	Passed	Remaining
0	2	2780
1	31	15897
2	36	12011
3	38	9689
4	41	8302
5	43	7267
6	46	6610
7	48	6044
8	50	5554
9	52	5192
10	54	4880
11	56	4640
12	58	4417
13	60	4227
14	62	4071
15	63	3932
16	66	3842
17	68	3714
18	69	3584
19	70	3472
20	72	3372
21	73	3286
22	75	3221
23	77	3169
24	79	3111
25	81	3051
26	83	2991
27	84	2937
28	86	2890
29	87	2837
30	89	2783
31	90	2738
32	92	2700
33	93	2654
34	94	2607
35	95	2562
36	96	2523
37	98	2487
38	99	2450
39	100	2419
40	102	2393
41	103	2364
42	105	2344
43	106	2316
44	107	2289
45	108	2256
46	110	2233
47	111	2211
48	112	2187
49	113	2165
50	115	2149
51	116	2131
52	118	2118
53	120	2106
54	121	2089
55	123	2078
56	124	2065
57	126	2050
58	127	2036
59	129	2030
60	131	2022
61	132	2011
62	134	2004
63	136	1994
64	137	1982
65	139	1968
66	140	1955
67	142	1946
68	143	1938
69	145	1928
70	146	1915
71	148	1909
72	149	1903
73	151	1893
74	152	1883
75	154	1878
76	156	1874
77	158	1867
78	159	1860
79	161	1856
80	162	1845
81	164	1842
82	165	1831
83	167	1823
84	168	1808
85	169	1799
86	170	1790
87	171	1780
88	173	1776
89	175	1771
90	176	1763
91	178	1758
92	179	1752
93	181	1748
94	182	1740
95	184	1736
96	186	1733
97	187	1726
98	188	1717
99	190	1711
100	191	1704
101	193	1702
102	194	1697
103	196	1688
104	197	1681
105	199	1682
106	201	1680
107	203	1677
108	204	1674
109	206	1670
110	208	1667
111	209	1662
112	211	1657
113	212	1651
114	213	1645
115	215	1639
116	215	1628
117	217	1622
118	218	1616
119	219	1612
120	221	1606
121	222	1601
122	223	1596
123	225	1592
124	226	1586
125	227	1581
126	229	1577
127	231	1574
128	232	1570
129	233	1562
130	234	1555
131	235	1547
132	236	1541
133	237	1536
134	238	1530
135	239	1524
136	240	1517
137	242	1511
138	243	1505
139	244	1500
140	245	1494
141	246	1489
142	246	1480
143	248	1474
144	249	1469
145	250	1465
146	251	1462
147	253	1458
148	254	1455
149	256	1452
150	257	1449
151	259	1446
152	260	1442
153	261	1438
154	262	1433
155	264	1429
156	265	1424
157	266	1420
158	267	1416
159	269	1413
160	270	1408
161	271	1403
162	272	1399
163	273	1395
164	275	1392
165	276	1388
166	277	1385
167	279	1382
168	280	1378
169	281	1374
170	282	1370
171	283	1367
172	285	1363
173	286	1361
174	288	1358
175	289	1353
176	290	1349
177	291	1345
178	292	1342
179	293	1339
180	295	1335
181	296	1331
182	297	1327
183	298	1324
184	299	1321
185	301	1318
186	302	1314
187	303	1310
188	304	1306
189	305	1303
190	306	1300
191	308	1296
192	309	1293
193	310	1289
194	311	1286
195	312	1283
196	313	1279
197	315	1275
198	315	1271
199	316	1267
200	317	1263
201	319	1260
202	321	1260
203	322	1257
204	323	1254
205	324	1251
206	325	1247
207	326	1245
208	328	1241
209	329	1238
210	330	1234
211	331	1231
212	332	1228
213	333	1225
214	336	1228
215	337	1226
216	339	1225
217	341	1223
218	342	1222
219	344	1220
220	345	1218
221	347	1216
222	348	1213
223	349	1211
224	351	1210
225	352	1208
226	354	1207
227	355	1204
228	357	1202
229	358	1200
230	360	1198
231	361	1196
232	362	1194
233	365	1196
234	368	1197
235	370	1198
236	372	1198
237	374	1197
238	375	1195
239	376	1193
240	378	1190
241	379	1188
242	380	1186
243	382	1183
244	383	1181
245	385	1180
246	386	1178
247	388	1177
248	390	1178
249	392	1176
250	394	1175
251	395	1175
252	397	1173
253	399	1172
254	400	1171
255	402	1169
256	403	1167
257	405	1167
258	407	1166
259	409	1166
260	411	1164
261	413	1163
262	414	1162
263	416	1161
264	418	1160
265	420	1159
266	421	1158
267	423	1157
268	425	1156
269	427	1155
270	429	1155
271	431	1154
272	432	1152
273	433	1149
274	435	1147
275	436	1145
276	438	1144
277	440	1144
278	442	1142
279	444	1142
280	446	1141
281	447	1139
282	448	1136
283	450	1134
284	451	1133
285	453	1131
286	454	1128
287	455	1126
288	457	1124
289	458	1122
290	459	1120
291	461	1118
292	462	1116
293	464	1114
294	465	1113
295	467	1111
296	468	1109
297	470	1108
298	472	1107
299	474	1106
300	475	1104
301	477	1103
302	479	1101
303	480	1100
304	482	1098
305	483	1097
306	485	1095
307	486	1093
308	487	1090
309	489	1088
310	490	1086
311	491	1084
312	493	1082
313	494	1079
314	495	1077
315	496	1075
316	497	1072
317	499	1070
318	500	1068
319	501	1066
320	503	1065
321	505	1063
322	506	1061
323	507	1059
324	508	1056
325	510	1054
326	511	1051
327	512	1049
328	513	1047
329	514	1044
330	515	1042
331	517	1041
332	518	1039
333	520	1036
334	521	1034
335	522	1032
336	523	1030
337	525	1028
338	526	1026
339	527	1023
340	528	1021
341	530	1019
342	531	1017
343	532	1015
344	533	1013
345	535	1011
346	536	1009
347	537	1007
348	538	1005
349	540	1003
350	541	1000
351	542	999
352	544	997
353	545	995
354	546	993
355	548	991
356	549	990
357	551	988
358	552	986
359	554	985
360	555	983
361	557	982
362	559	981
363	560	979
364	562	978
365	564	977
366	566	976
367	567	974
368	569	973
369	570	972
370	572	970
371	574	969
372	576	969
373	578	968
374	580	966
375	581	965
376	583	964
377	585	963
378	586	961
379	588	959
380	589	958
381	591	956
382	593	955
383	594	953
384	596	953
385	598	952
386	600	950
387	601	949
388	603	947
389	604	945
390	605	943
391	606	941
392	608	939
393	609	937
394	611	936
395	613	935
396	614	933
397	616	932
398	617	930
399	619	928
400	620	927
401	622	925
402	624	924
403	625	922
404	627	921
405	628	920
406	630	918
407	632	917
408	633	915
409	635	913
410	636	912
411	638	910
412	639	909
413	641	907
414	642	905
415	644	904
416	646	903
417	648	902
418	649	900
419	650	898
420	651	896
421	653	894
422	653	892
423	655	889
424	656	887
425	657	885
426	658	883
427	659	881
428	661	880
429	662	878
430	663	876
431	665	874
432	666	872
433	667	870
434	668	868
435	670	867
436	671	865
437	672	863
438	673	861
439	675	859
440	676	857
441	678	856
442	679	854
443	680	852
444	682	850
445	683	848
446	684	846
447	686	845
448	688	844
449	689	842
450	690	840
451	691	838
452	693	836
453	694	835
454	696	833
455	697	831
456	698	830
457	699	828
458	700	826
459	702	824
460	703	822
461	705	821
462	706	819
463	708	817
464	709	816
465	710	814
466	711	812
467	712	810
468	714	808
469	715	806
470	717	805
471	719	804
472	720	802
473	722	801
474	723	799
475	724	798
476	726	796
477	728	795
478	730	794
479	731	792
480	733	791
481	735	790
482	736	788
483	737	786
484	739	785
485	740	783
486	742	782
487	744	780
488	746	780
489	749	779
490	750	777
491	751	776
492	753	775
493	755	773
494	756	771
495	758	770
496	760	769
497	762	768
498	764	767
499	766	766
500	767	764
501	769	763
502	771	761
503	772	760
504	774	759
505	775	757
506	777	756
507	779	754
508	780	752
509	781	750
510	782	749
511	784	747
512	786	746
513	787	744
514	788	742
515	789	740
516	790	738
517	791	736
518	792	734
519	793	732
520	794	730
521	795	728
522	797	726
523	798	724
524	799	723
525	800	721
526	801	719
527	802	717
528	803	715
529	804	713
530	805	711
531	806	709
532	807	707
533	808	705
534	809	703
535	810	701
536	811	699
537	812	698
538	813	696
539	815	694
540	816	692
541	817	690
542	818	688
543	819	687
544	820	685
545	821	683
546	822	681
547	824	679
548	825	678
549	827	676
550	828	674
551	829	673
552	830	671
553	831	669
554	832	667
555	834	666
556	835	664
557	837	663
558	838	661
559	839	659
560	841	658
561	842	656
562	844	655
563	845	653
564	847	652
565	849	651
566	851	650
567	853	649
568	855	648
569	857	646
570	859	645
571	861	644
572	862	642
573	864	641
574	865	639
575	867	638
576	868	636
577	870	635
578	872	634
579	873	632
580	875	631
581	876	629
582	878	628
583	880	626
584	881	625
585	882	623
586	884	622
587	885	620
588	887	618
589	888	617
590	889	615
591	890	613
592	891	612
593	893	610
594	894	608
595	895	607
596	897	605
597	898	603
598	898	601
599	899	599
600	900	598
601	901	596
602	902	594
603	903	592
604	904	590
605	905	588
606	906	586
607	906	584
608	907	582
609	908	580
610	909	579
611	910	577
612	912	575
613	913	574
614	914	572
615	915	570
616	916	568
617	917	566
618	918	565
619	919	563
620	920	561
621	921	560
622	922	558
623	923	556
624	925	555
625	926	553
626	927	551
627	928	549
628	929	548
629	930	546
630	932	545
631	933	543
632	934	541
633	936	540
634	938	539
635	939	537
636	941	536
637	942	534
638	944	533
639	945	531
640	947	530
641	948	529
642	950	527
643	951	526
644	953	524
645	954	523
646	956	521
647	958	520
648	959	518
649	960	517
650	961	515
651	963	514
652	964	512
653	965	510
654	967	509
655	968	507
656	970	506
657	971	504
658	973	503
659	974	502
660	975	500
661	976	498
662	978	497
663	979	495
664	981	494
665	982	492
666	984	491
667	986	490
668	987	488
669	988	487
670	990	485
671	991	484
672	993	482
673	995	481
674	996	479
675	998	478
676	999	477
677	1001	475
678	1003	474
